Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2022-12-09,15.79166667,10.91666667,20.83333333,6.541666667,80.375
2022-12-10,18.04166667,9.166666667,19.16666667,7.166666667,77.5
2022-12-11,19.58333333,6.916666667,17.375,6.625,58.70833333
2022-12-12,25.29166667,6,21.16666667,8.958333333,54.08333333
2022-12-13,26.83333333,5.75,20.33333333,8.666666667,67.54166667
2022-12-14,21.91666667,4,20.29166667,7.208333333,55.5
2022-12-15,21.625,4,24.79166667,9.708333333,70.04166667
2022-12-16,23.79166667,5.583333333,29.66666667,12,73.95833333
2022-12-17,27.375,6,22.41666667,8.125,70.16666667
2022-12-18,26.20833333,6,22.45833333,8.916666667,71.08333333
2022-12-19,21.29166667,7.083333333,24.75,9.416666667,68.58333333
2022-12-20,21.29166667,7.666666667,23.95833333,11.33333333,81.95833333
2022-12-21,15.41666667,13.66666667,17.70833333,5.5,67.54166667
2022-12-22,22.5,7.416666667,24.75,10.04166667,62.20833333
2022-12-23,29.95833333,7.666666667,18.29166667,6.25,80.16666667
2022-12-24,16.29166667,17.5,19.95833333,8.125,79.58333333
2022-12-25,13.41666667,5.75,15.70833333,6.166666667,79.125
2022-12-26,14.875,4.75,17.08333333,5.625,39.66666667
2022-12-27,19.04166667,5.75,18.54166667,5.583333333,39.5
2022-12-28,17.04166667,11,19.125,8.583333333,53.66666667
2022-12-29,14.08333333,4.75,16.79166667,7.625,42.41666667
2022-12-30,12.41666667,4.916666667,17.625,10.16666667,45.5
2022-12-31,13.29166667,2.833333333,12.66666667,5.541666667,37.58333333
